               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051163,            0.077929,                   0,             0.69784,             0.63504,             0.66414,             0.29104,            0.053307,            0.050146,                   0,             0.00158,             0.00158,             0.08578
                   1,             0.05562,             0.07272,                   0,             0.33572,             0.44084,             0.30307,            0.064446,             0.07368,            0.043791,                   0,           0.0031656,           0.0031656,            0.071466
                   2,            0.066321,            0.060697,                   0,             0.17953,             0.72628,             0.17282,             0.03985,            0.072102,            0.045391,                   0,           0.0047336,           0.0047336,            0.057134
                   3,            0.070251,            0.056084,                   0,               0.363,             0.34307,             0.28478,            0.071141,            0.078179,            0.041529,                   0,            0.006271,            0.006271,            0.042771
                   4,            0.071011,            0.062961,                   0,             0.41117,             0.53285,              0.4078,             0.12908,            0.074214,            0.047079,                   0,           0.0077651,           0.0077651,            0.028365
                   5,             0.06595,             0.07632,                   0,             0.31268,              0.5219,              0.3281,            0.068453,            0.075261,            0.043864,                   0,           0.0092036,           0.0092036,            0.013904
                   6,             0.07617,            0.063944,                   0,             0.74485,             0.42617,             0.52003,              0.1693,             0.07657,            0.037705,                   0,           0.0095095,           0.0095095,           0.0095095
                   7,            0.070126,            0.054376,                   0,             0.46733,             0.58394,             0.52702,             0.16283,            0.082171,             0.03628,                   0,           0.0095095,           0.0095095,           0.0095095
                   8,             0.06796,            0.052182,                   0,             0.27298,             0.76642,             0.25701,            0.074323,            0.065917,            0.039516,                   0,           0.0093369,           0.0093369,           0.0093369
                   9,            0.058273,            0.050856,                   0,             0.28898,             0.67153,             0.32767,            0.081084,            0.061354,            0.036647,                   0,           0.0091406,           0.0091406,           0.0091406
                  10,            0.054387,            0.053076,                   0,             0.52146,             0.74453,             0.57252,             0.14397,            0.056006,            0.036426,                   0,           0.0089218,           0.0089218,           0.0089218
                  11,            0.061191,            0.072106,                   0,             0.41375,             0.74698,             0.51702,             0.15097,            0.052784,            0.044015,                   0,            0.008682,            0.008682,            0.008682
                  12,            0.048639,             0.06382,                   0,             0.71425,             0.71168,               0.696,             0.25719,             0.04763,            0.042351,                   0,           0.0084225,           0.0084225,           0.0084225
                  13,            0.050103,            0.055314,                   0,             0.71823,             0.81387,             0.81282,             0.37526,            0.044775,            0.038146,                   0,            0.008145,            0.008145,            0.008145
                  14,            0.042859,            0.051791,                   0,               0.668,             0.74453,             0.76546,             0.37573,            0.043154,            0.037994,                   0,           0.0078512,           0.0078512,           0.0078512
                  15,            0.047149,            0.056968,                   0,             0.74604,             0.76642,             0.74771,             0.30381,            0.048272,            0.037258,                   0,            0.007543,            0.007543,            0.007543
                  16,            0.043738,            0.050446,                   0,             0.87767,             0.89026,             0.89798,             0.44071,            0.040153,            0.034609,                   0,           0.0072221,           0.0072221,           0.0072221
                  17,            0.042305,            0.047527,                   0,             0.88652,             0.91241,             0.93175,             0.46613,             0.03575,            0.035399,                   0,           0.0068906,           0.0068906,           0.0068906
                  18,            0.034535,            0.049586,                   0,             0.88926,             0.87918,             0.92416,              0.5038,            0.034318,            0.034153,                   0,           0.0065505,           0.0065505,           0.0065505
                  19,            0.039331,            0.045879,                   0,             0.78872,             0.86131,             0.89155,             0.44161,            0.037369,             0.03469,                   0,            0.006204,            0.006204,            0.006204
                  20,            0.033799,            0.047307,                   0,             0.91098,             0.93796,             0.95219,             0.53245,            0.032068,            0.034427,                   0,           0.0058531,           0.0058531,           0.0058531
                  21,            0.034253,            0.045632,                   0,             0.87531,             0.94891,             0.95142,             0.50207,            0.033664,            0.034669,                   0,              0.0055,              0.0055,              0.0055
                  22,            0.029155,            0.044174,                   0,             0.92086,              0.9343,             0.95798,             0.55072,            0.030082,            0.034036,                   0,           0.0051469,           0.0051469,           0.0051469
                  23,            0.029069,            0.045934,                   0,             0.93473,             0.94084,             0.96005,             0.55244,            0.032047,             0.03349,                   0,            0.004796,            0.004796,            0.004796
                  24,            0.029635,            0.044344,                   0,             0.91542,             0.94891,             0.96002,             0.55179,            0.029484,            0.033138,                   0,           0.0044495,           0.0044495,           0.0044495
                  25,            0.031956,            0.041352,                   0,             0.92566,              0.9562,             0.95123,             0.54197,            0.030657,            0.033624,                   0,           0.0041094,           0.0041094,           0.0041094
                  26,            0.026427,            0.042708,                   0,              0.9541,             0.91241,             0.94864,              0.5623,            0.028267,            0.033733,                   0,           0.0037779,           0.0037779,           0.0037779
                  27,            0.025996,            0.043716,                   0,             0.93548,             0.95254,             0.95268,             0.56306,            0.028793,            0.033652,                   0,            0.003457,            0.003457,            0.003457
                  28,            0.025645,            0.041735,                   0,             0.94505,             0.94143,             0.95712,             0.58174,            0.026958,            0.033303,                   0,           0.0031488,           0.0031488,           0.0031488
                  29,            0.024367,            0.041263,                   0,             0.94871,             0.94515,             0.95773,             0.58509,            0.026381,            0.033312,                   0,            0.002855,            0.002855,            0.002855
                  30,            0.024146,            0.039356,                   0,             0.95518,             0.93431,             0.95412,             0.58443,            0.026615,            0.033524,                   0,           0.0025775,           0.0025775,           0.0025775
                  31,            0.022628,            0.040429,                   0,             0.94484,             0.93773,              0.9547,             0.57641,            0.027481,             0.03399,                   0,            0.002318,            0.002318,            0.002318
                  32,            0.022876,            0.039421,                   0,              0.9483,             0.93796,             0.96176,             0.58741,            0.026294,            0.033621,                   0,           0.0020782,           0.0020782,           0.0020782
                  33,            0.022674,            0.041032,                   0,             0.95184,             0.93796,             0.95701,              0.5774,            0.027194,             0.03434,                   0,           0.0018594,           0.0018594,           0.0018594
                  34,             0.02172,             0.03906,                   0,             0.94517,             0.94526,             0.95687,             0.57441,            0.026707,            0.034055,                   0,           0.0016631,           0.0016631,           0.0016631
                  35,            0.022248,            0.037158,                   0,             0.94484,             0.93796,             0.95654,             0.57725,            0.027346,            0.034428,                   0,           0.0014905,           0.0014905,           0.0014905
                  36,            0.021691,            0.041582,                   0,             0.94484,             0.93772,             0.95386,             0.58197,            0.026541,            0.033923,                   0,           0.0013425,           0.0013425,           0.0013425
                  37,            0.020903,            0.042242,                   0,             0.92218,             0.95255,             0.95113,             0.58846,            0.026126,            0.034113,                   0,           0.0012202,           0.0012202,           0.0012202
                  38,            0.021257,            0.036494,                   0,             0.92553,             0.95251,             0.95682,             0.58218,            0.026343,            0.034028,                   0,           0.0011243,           0.0011243,           0.0011243
                  39,            0.020427,            0.040227,                   0,             0.92253,             0.95618,             0.95811,             0.58903,            0.025869,            0.034007,                   0,           0.0010554,           0.0010554,           0.0010554
